Title,Publisher,Author,Year
"The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",David Meerman Scott,2013
Social Media Marketing Workbook 2022,nan,Jason McDonald,2022
Philosophy Of Media: A short History Of Ideas And Innovations From Socrates To Social Media,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Hassan, Robert, Sutherland, Thomas",2017
Social Media Marketing All-in-One For Dummies,"<a href=""/s/?q=For+Dummies"" title=""Publisher"">For Dummies</a>","Michelle Krasniak, Jan Zimmerman, Deborah Ng",2021
Dynamic Digital Marketing: Master the World of Online and Social Media Marketing to Grow Your Business,"<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",Dawn McGruer,2020
Social Media for Strategic Communication: Creative Strategies and Research-Based Applications,"<a href=""/s/?q=Sage+Publications%2C+Inc"" title=""Publisher"">Sage Publications, Inc</a>",Karen J Freberg,2018
Influence and Behavior Analysis in Social Networks and Social Media,"<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>","Mehmet Kaya, Reda Alhajj",2019
"Professione social media manager. Strategie, tattiche e strumenti per i professionisti del social media marketing","<a href=""/s/?q=Hoepli"" title=""Publisher"">Hoepli</a>",Veronica Gentili,2020
"50 digital team building games : fast, fun meeting openers, group activities and adventures using social media, smart phones, GPS, tablets, and more","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>","Chen, John",2012
Social Media Made Simple: Social Media Marketing Tips for Small Business: A Quick Guide to Boosting Your Brand With 101 Free Content Ideas,"<a href=""/s/?q=%23PrB.rating%235.0"" title=""Publisher"">#PrB.rating#5.0</a>","The Sitters Australia & Siân Evans & Justine Day [Australia, The Sitters & Evans, Siân & Day, Justine]",2021
Social Media and Crisis Communication,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Lucinda L Austin, Yan Jin",2017
LikeWar: The Weaponization of Social Media,"<a href=""/s/?q=Eamon+Dolan%2FHoughton+Mifflin+Harcourt"" title=""Publisher"">Eamon Dolan/Houghton Mifflin Harcourt</a>","P.W. Singer, Emerson T. Brooking",2018
